section,object_name,details
04_COLUMN,auth.users.reauthentication_sent_at,"{""table"":""users"",""column"":""reauthentication_sent_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":32,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.reauthentication_token,"{""table"":""users"",""column"":""reauthentication_token"",""schema"":""auth"",""default"":""''::character varying"",""nullable"":""YES"",""position"":31,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.recovery_sent_at,"{""table"":""users"",""column"":""recovery_sent_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":12,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.recovery_token,"{""table"":""users"",""column"":""recovery_token"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":11,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.role,"{""table"":""users"",""column"":""role"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":4,""udt_name"":""varchar"",""data_type"":""character varying"",""max_length"":255,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,auth.users.updated_at,"{""table"":""users"",""column"":""updated_at"",""schema"":""auth"",""default"":null,""nullable"":""YES"",""position"":21,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_categories.created_at,"{""table"":""article_categories"",""column"":""created_at"",""schema"":""public"",""default"":""now()"",""nullable"":""NO"",""position"":5,""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_categories.id,"{""table"":""article_categories"",""column"":""id"",""schema"":""public"",""default"":""gen_random_uuid()"",""nullable"":""NO"",""position"":1,""udt_name"":""uuid"",""data_type"":""uuid"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_categories.is_active,"{""table"":""article_categories"",""column"":""is_active"",""schema"":""public"",""default"":""true"",""nullable"":""NO"",""position"":3,""udt_name"":""bool"",""data_type"":""boolean"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
04_COLUMN,public.article_categories.slug,"{""table"":""article_categories"",""column"":""slug"",""schema"":""public"",""default"":null,""nullable"":""NO"",""position"":2,""udt_name"":""text"",""data_type"":""text"",""max_length"":null,""is_identity"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null}"
